song_n,song,album,year
1,I Don't Know How I Survive,Asphalt Meadows,2022
2,Roman Candles,Asphalt Meadows,2022
3,The New Year,Transatlanticism,2003
4,Cath...,Narrow Stairs,2008
5,A Movie Script Ending,The Photo Album,2001
6,Here to Forever,Asphalt Meadows,2022
7,Black Sun,Kintsugi,2015
8,Northern Lights,Thank You For Today,2018
9,I Miss Strangers,Asphalt Meadows,2022
10,Crooked Teeth,Plans,2005
11,Rand McNally,Asphalt Meadows,2022
12,I Will Follow You Into the Dark,Plans,2005
13,I Will Possess Your Heart,Narrow Stairs,2008
14,Your Heart is an Empty Room,Plans,2005
15,Asphalt Meadows,Asphalt Meadows,2022
16,The Ghosts of Beverly Drive,Kintsugi,2015
17,We Looked Like Giants,Transatlanticism,2003
18,The Sound of Settling,Transatlanticism,2003
19,Foxglove Through the Clearcut,Asphalt Meadows,2022
20,Pepper,Asphalt Meadows,2022
21,405,We Have the Facts and Were Voting Yes,2000
22,I'll Never Give Up On You,Asphalt Meadows,2022
23,Soul Meets Body,Plans,2005
